periods,m0_level1,m1_level1,m2_level1,m3_level1,m4_level1,m5_level1,r0_level1,r1_level1,r2_level1,r3_level1,r4_level1,r5_level1,m0_level2,m1_level2,m2_level2,m3_level2,m4_level2,m5_level2,r0_level2,r1_level2,r2_level2,r3_level2,r4_level2,r5_level2,m0_level3,m1_level3,m2_level3,m3_level3,m4_level3,m5_level3,r0_level3,r1_level3,r2_level3,r3_level3,r4_level3,r5_level3,m0_level4,m1_level4,m2_level4,m3_level4,m4_level4,m5_level4,r0_level4,r1_level4,r2_level4,r3_level4,r4_level4,r5_level4
-0.01,1.039920427,1.140285151,-0.185096602,0.257693484,1.0596539,-0.220871676,-3.463164371,0.482433924,-1.256971678,0.110220218,-3.195343727,0.334824881,1.297538207,1.246791448,-0.165814562,0.318496324,1.109028478,-0.229820427,-3.467607903,0.483139466,-1.305802571,0.119576322,-3.263458383,0.343666177,1.485531247,1.428918133,-0.121167256,0.385472872,1.105204217,-0.214593343,-3.486259934,0.484697173,-1.309206189,0.119219045,-3.252162201,0.33907818,1.691305958,1.45239821,-0.123584348,0.395170463,1.101476818,-0.204150383,-3.533255283,0.491949291,-1.366348835,0.12715936,-3.318023591,0.347376314
0.01,4.456538433,0.600536905,-0.168391372,0.406589056,0.200819558,-0.093312215,-3.883215509,0.522091411,-1.731397703,0.159300861,-3.988039943,0.401176158,4.821203162,0.759254433,-0.139650633,0.480858333,0.203764179,-0.084317987,-3.864147535,0.518068858,-1.775133356,0.170038525,-4.077235471,0.413635252,5.077668362,1.011515189,-0.078220627,0.573043769,0.179195821,-0.066510543,-3.877669156,0.518771771,-1.779103541,0.170407577,-4.069188805,0.409276358,5.358910045,1.045474787,-0.081419282,0.586454591,0.156999429,-0.054170113,-3.925690377,0.526156109,-1.814439411,0.174874473,-4.158054358,0.421606775
0.025,5.148644649,0.616233796,-0.110636124,0.665748786,0.068145123,-0.063731009,-4.182109554,0.548034899,-2.878827266,0.3097154,-4.07683125,0.368747997,5.520008295,0.775135196,-0.079454849,0.743138091,0.06201334,-0.051330874,-4.144621603,0.540735848,-2.93901108,0.32402116,-4.186396566,0.384219984,5.782893902,1.034239135,-0.016477733,0.832424997,0.039030839,-0.034947615,-4.161309102,0.542073693,-2.93329628,0.32235075,-4.179152599,0.379839243,6.068740202,1.061323288,-0.018925024,0.848662107,0.010292194,-0.020120245,-4.191996947,0.546414705,-2.986539238,0.329762466,-4.292584933,0.396285892
0.05,5.253887911,0.582485722,-0.132010762,0.646628851,0.097439682,-0.056456682,-3.729825879,0.49685906,-1.73685024,0.160080987,-4.74534992,0.47370538,5.62079853,0.734176145,-0.107643909,0.725574903,0.096761327,-0.047733118,-3.693784354,0.490846143,-1.699437324,0.156692231,-4.854938419,0.489920296,5.885177984,0.996096836,-0.043952415,0.8161666,0.062565919,-0.026295495,-3.704852935,0.490962608,-1.706036128,0.159301437,-4.848928736,0.485813543,6.16452112,1.01520766,-0.054786469,0.836395513,0.036364274,-0.011236465,-3.739518632,0.496689368,-1.653622975,0.149223178,-4.951374566,0.500451742
0.075,5.148784063,0.535967238,-0.18868179,0.607239517,0.157891832,-0.0593312,-3.525419178,0.475084994,-0.747530177,0.014366957,-4.660427349,0.477880495,5.514001567,0.680931048,-0.171813203,0.682830995,0.159817693,-0.051194899,-3.506040041,0.47180761,-0.713264174,0.013343287,-4.72370871,0.486171583,5.779538719,0.944565261,-0.107209194,0.766494977,0.132723064,-0.034747585,-3.520663612,0.472691306,-0.710027953,0.013819679,-4.72307959,0.483979555,6.05438437,0.962174931,-0.12469405,0.789827375,0.109114244,-0.020690761,-3.547803466,0.477203569,-0.678937598,0.007886761,-4.775141702,0.490215616
0.1,4.984192321,0.486805662,-0.253481102,0.549666644,0.226652075,-0.072650624,-3.400679735,0.460220617,-0.47464091,-0.021719801,-4.244483811,0.425048128,5.346911577,0.636459333,-0.239009038,0.6254678,0.232854311,-0.066997141,-3.375786373,0.45628785,-0.462384228,-0.020042391,-4.278818527,0.429016344,5.60970346,0.898250211,-0.174738023,0.70860387,0.202269826,-0.047263397,-3.396020877,0.458758505,-0.447592953,-0.022429899,-4.278602659,0.427396712,5.886964318,0.925455315,-0.193179897,0.724877393,0.187934964,-0.038019633,-3.414775014,0.461374453,-0.445923422,-0.023272605,-4.305186887,0.429792387
0.125,4.848231608,0.458929198,-0.311118282,0.504311152,0.289564452,-0.086728416,-3.29527288,0.446739046,-0.391153354,-0.03177119,-3.85729247,0.373968994,5.211828477,0.619210599,-0.295653705,0.575472536,0.29605976,-0.080899913,-3.26200266,0.441698596,-0.404533075,-0.026342108,-3.878886283,0.376226719,5.471543574,0.879570372,-0.232116513,0.657967872,0.274528212,-0.066290019,-3.282002084,0.444438915,-0.380763353,-0.030492795,-3.878632652,0.374732832,5.749563789,0.923578978,-0.247068612,0.665298189,0.267641787,-0.059446093,-3.289161925,0.444956125,-0.404628017,-0.027264755,-3.893508146,0.375604293
0.15,4.735169048,0.458322877,-0.354637894,0.459132549,0.345152025,-0.101780056,-3.21111822,0.43546866,-0.383077862,-0.031554836,-3.556934605,0.334336767,5.099368041,0.630382989,-0.336527554,0.523523809,0.3572932,-0.09815704,-3.184966715,0.431999576,-0.393567247,-0.027358429,-3.578650947,0.337090413,5.355933768,0.887564983,-0.273718143,0.608054869,0.335607215,-0.083569614,-3.202330233,0.434188781,-0.380465681,-0.030113459,-3.574136265,0.335121391,5.632733933,0.947466522,-0.284018625,0.61314127,0.333402258,-0.07891671,-3.221302166,0.43688229,-0.399364949,-0.027628595,-3.582730438,0.335189965
0.175,4.63175007,0.476790734,-0.387577646,0.419472662,0.391710905,-0.115386161,-3.140660296,0.425733714,-0.396659174,-0.029061722,-3.327445456,0.304613335,4.993520086,0.661781057,-0.365306749,0.477598615,0.413122968,-0.116247004,-3.121911896,0.42419544,-0.405909315,-0.025570975,-3.343303119,0.306548287,5.247559178,0.919197122,-0.302050962,0.565234023,0.392599256,-0.100927369,-3.131175412,0.424249296,-0.407157988,-0.02496916,-3.336908577,0.304239238,5.524132643,0.990927629,-0.308266992,0.567046464,0.391411686,-0.09670816,-3.169470659,0.430584914,-0.413865392,-0.025525729,-3.342576914,0.304208531
0.2,4.55524782,0.51126121,-0.410888322,0.384551853,0.435758279,-0.128013843,-3.08659069,0.418903055,-0.423308312,-0.024656361,-3.132326165,0.278846172,4.913463511,0.707617774,-0.385029801,0.4460323,0.456658648,-0.128022459,-3.071955078,0.41760153,-0.406022475,-0.025059048,-3.151904723,0.281568374,5.164652665,0.960653266,-0.322937077,0.531492622,0.444273364,-0.116267534,-3.076591315,0.416614347,-0.425487134,-0.020996319,-3.142735531,0.278663708,5.435608209,1.046001052,-0.324304908,0.535427857,0.450411,-0.116263574,-3.108315147,0.42218763,-0.41894593,-0.024243848,-3.154322049,0.279974281
0.25,4.442216326,0.606202903,-0.43676004,0.331195563,0.513184341,-0.15207946,-3.006415277,0.407696609,-0.424531623,-0.023124341,-2.867255403,0.244200166,4.794546301,0.821348754,-0.403536167,0.390086961,0.547203755,-0.158587611,-2.990843519,0.406573676,-0.433099546,-0.020413875,-2.87865319,0.246048247,5.035953271,1.068905563,-0.342159018,0.479734578,0.538431575,-0.147136862,-2.996559636,0.406427096,-0.442996088,-0.019126914,-2.874268368,0.244393672,5.302421143,1.177101096,-0.334773777,0.482828377,0.556212592,-0.153361324,-3.032722642,0.411983635,-0.438105773,-0.020967659,-2.882437104,0.244995743
0.3,4.35266389,0.722117023,-0.444583135,0.289115085,0.586021558,-0.177505293,-2.931265284,0.39660686,-0.467941737,-0.015937826,-2.67526166,0.21952974,4.695610119,0.94874534,-0.404865854,0.34947576,0.627614384,-0.186529261,-2.940809747,0.400330187,-0.440222172,-0.020089911,-2.69456174,0.2227331,4.926277584,1.18909578,-0.34461886,0.449241441,0.620436196,-0.175201152,-2.948935977,0.40106757,-0.452093326,-0.018948851,-2.683766408,0.220126057,5.182258224,1.308394253,-0.331924496,0.45412855,0.647973731,-0.18441673,-2.978705111,0.405287817,-0.454614897,-0.01854595,-2.696754441,0.221408646
0.4,4.178939577,0.954028972,-0.431429374,0.239817248,0.697535233,-0.215293505,-2.87894644,0.3909703,-0.464279557,-0.016664143,-2.44460683,0.190637128,4.498092639,1.193241242,-0.384565649,0.317811672,0.756450813,-0.230175061,-2.859711545,0.389421685,-0.473021753,-0.014356799,-2.456035429,0.192298274,4.711765125,1.420603934,-0.326088274,0.419839888,0.769642076,-0.227912199,-2.873562725,0.390819316,-0.477564241,-0.013766773,-2.451427106,0.190763207,4.942314575,1.547551959,-0.307039037,0.43943862,0.816130622,-0.242634566,-2.899345903,0.394606109,-0.493475872,-0.012628506,-2.458038381,0.19166517
0.5,3.995244736,1.164525524,-0.403455009,0.229080971,0.79279279,-0.247176078,-2.837119704,0.385564786,-0.478713915,-0.014181304,-2.304948465,0.173657692,4.289494287,1.402013216,-0.353339722,0.317719251,0.878898656,-0.273721915,-2.830881085,0.3861426,-0.470165414,-0.014916432,-2.321048619,0.176394018,4.481909484,1.608290228,-0.299974896,0.43122094,0.906394689,-0.275922004,-2.841250464,0.387004264,-0.475744679,-0.014106891,-2.314347129,0.174547287,4.689380706,1.735093938,-0.277480025,0.457932967,0.976539591,-0.300603019,-2.858002785,0.389955664,-0.510240245,-0.010089616,-2.31940697,0.174893361
0.6,3.812546916,1.35778423,-0.36870885,0.235337718,0.890477363,-0.280840143,-2.813591889,0.382313634,-0.501956518,-0.009196921,-2.210921879,0.162752035,4.079898948,1.580035473,-0.319854099,0.335459793,0.994093926,-0.313319094,-2.803420054,0.383068404,-0.508074318,-0.008903738,-2.230779986,0.166255643,4.254536785,1.766048104,-0.271595561,0.452087822,1.043875332,-0.324869147,-2.82244329,0.385429124,-0.500599582,-0.010097274,-2.224489926,0.164407845,4.44013393,1.882066441,-0.249540795,0.489884558,1.128781362,-0.35368866,-2.837403181,0.387713216,-0.535335984,-0.005526333,-2.235231342,0.165731629
0.7,3.671312498,1.522062091,-0.337679928,0.259759941,0.988665361,-0.313165384,-2.788151218,0.379593388,-0.490351136,-0.011425867,-2.127999239,0.153486622,3.915241888,1.728314263,-0.290734756,0.374865677,1.100468351,-0.345839381,-2.782541608,0.381066451,-0.494376925,-0.010852829,-2.153490419,0.157695819,4.074313512,1.895396154,-0.247447077,0.48433319,1.182690995,-0.371745071,-2.806607848,0.384414692,-0.490770641,-0.011559486,-2.143431397,0.155267198,4.239901823,1.999874081,-0.226429312,0.530545468,1.281098442,-0.403933961,-2.824664303,0.386953451,-0.523925101,-0.007154514,-2.154577394,0.156715961
0.85,3.363430683,1.690227121,-0.296790704,0.297631975,1.110064218,-0.358176393,-2.811323822,0.384215335,-0.51539109,-0.00781216,-2.095378507,0.151299031,3.575667371,1.869194634,-0.255250216,0.418353614,1.252774013,-0.401498884,-2.801974024,0.384681588,-0.546385763,-0.001609146,-2.116046635,0.154463001,3.712839251,2.013793761,-0.217661266,0.52707456,1.356180182,-0.431741874,-2.821914436,0.38757149,-0.544092173,-0.002533847,-2.108435557,0.152572374,3.857599711,2.100700446,-0.199573187,0.576618346,1.470293353,-0.467199031,-2.849040617,0.3917751,-0.562945366,-0.000804694,-2.123871401,0.154578877
1,3.102362938,1.823196741,-0.263344357,0.352173833,1.232164819,-0.399086577,-2.824241035,0.387272447,-0.555172889,-0.001491645,-2.071651607,0.150678998,3.28774138,1.980541324,-0.225661806,0.46830587,1.415421816,-0.457678924,-2.818521907,0.388407029,-0.593889774,0.00538666,-2.085451333,0.152684806,3.405777636,2.104494387,-0.193567353,0.577482665,1.530381938,-0.486448118,-2.827747085,0.388602842,-0.602357402,0.007189897,-2.084134105,0.151795039,3.53296744,2.174236662,-0.179089456,0.622317687,1.657427969,-0.52354408,-2.862222802,0.39470652,-0.603373112,0.006122449,-2.102826226,0.154037716
1.5,2.709773855,2.182489283,-0.191100451,0.547841015,1.674810191,-0.535242573,-2.738834964,0.377200471,-0.478217676,-0.012878003,-1.872363828,0.126922342,2.824260781,2.278062955,-0.166853597,0.667768556,1.92218036,-0.609772788,-2.723390783,0.374905692,-0.5307954,-0.001818594,-1.890634723,0.129959212,2.903000753,2.357897621,-0.146166983,0.74715553,2.085667085,-0.648967319,-2.72559148,0.374121806,-0.547612786,0.001599044,-1.890823232,0.129485658,2.983640736,2.392049491,-0.138271514,0.778006402,2.240103808,-0.684170218,-2.78136088,0.385071225,-0.532998424,-0.004811932,-1.906009531,0.131634446
2,2.076252967,2.242825658,-0.165779855,0.624009826,1.926614455,-0.608619231,-2.788837563,0.38554009,-0.534436969,-0.002530538,-1.893017666,0.132597499,2.16646083,2.307451892,-0.148750829,0.72430398,2.175490423,-0.672409476,-2.79461055,0.38727862,-0.58176326,0.006550049,-1.911596103,0.135328094,2.236942421,2.374790663,-0.131704145,0.781309592,2.336230855,-0.702238843,-2.799660814,0.387716814,-0.591540755,0.005561493,-1.91090627,0.135413085,2.31030774,2.39671015,-0.127147818,0.797409188,2.477928442,-0.72391631,-2.840086994,0.393747575,-0.603901219,0.008874249,-1.931438918,0.137593789
2.5,1.482171391,2.22598477,-0.156509088,0.656720503,2.135124925,-0.655649604,-2.85341255,0.396562743,-0.618607331,0.010461238,-1.95465631,0.144341451,1.565568977,2.278078718,-0.142790144,0.734860713,2.357148177,-0.69570312,-2.857631998,0.397853516,-0.674232245,0.02118391,-1.972536966,0.146845228,1.633690797,2.339943344,-0.12726658,0.777861294,2.48446235,-0.701452957,-2.867468347,0.398880621,-0.683330205,0.020986153,-1.974948202,0.146965745,1.709090994,2.353142825,-0.125995908,0.781030211,2.600144543,-0.70793023,-2.906624106,0.404095317,-0.697110029,0.023858709,-1.997847472,0.149585083
3,1.043605667,2.2123541,-0.152720521,0.681825665,2.304905773,-0.677471184,-2.890024264,0.402363986,-0.672236741,0.019442107,-1.985628559,0.151829389,1.122900799,2.255265252,-0.141744182,0.746629071,2.490021953,-0.692142002,-2.893507772,0.403633681,-0.724197183,0.028772511,-2.005465033,0.15476488,1.191586239,2.316732476,-0.126391079,0.77368456,2.5910813,-0.681267498,-2.904688918,0.404780486,-0.734064791,0.029787315,-2.006201844,0.153673564,1.267782642,2.326433032,-0.126353098,0.775685102,2.668553406,-0.666666491,-2.940382382,0.408929491,-0.75972626,0.03456604,-2.029201387,0.156332566
4,0.366398834,2.178634891,-0.151621164,0.696093745,2.504570305,-0.664259207,-2.936458506,0.409442207,-0.735149263,0.029956221,-2.034408469,0.162728104,0.445966102,2.21138816,-0.144490866,0.740443727,2.632555288,-0.648647298,-2.942487949,0.41099998,-0.781349219,0.037996632,-2.056877756,0.165423135,0.516725402,2.275250212,-0.128543275,0.757109319,2.679591567,-0.608802665,-2.953636962,0.41195366,-0.797159446,0.040325578,-2.052597489,0.163231797,0.595917608,2.283526728,-0.128913526,0.75449609,2.712553763,-0.577928684,-2.994618482,0.417445738,-0.824853064,0.045107216,-2.076485189,0.165852508
5,-0.151011568,2.141927315,-0.154819897,0.685138838,2.590809076,-0.615434561,-2.973340018,0.415140827,-0.763722121,0.033254702,-2.078987557,0.171763063,-0.068765224,2.172953612,-0.148612942,0.723596942,2.660683042,-0.574881737,-2.983618649,0.4178871,-0.804146427,0.040721891,-2.10321345,0.174083681,0.006466084,2.241605567,-0.131552604,0.737542667,2.667885749,-0.520156058,-2.992149349,0.417917953,-0.827207412,0.044452846,-2.095136779,0.171066561,0.089341669,2.249932197,-0.132411441,0.733457525,2.679601697,-0.486711999,-3.032192235,0.423201464,-0.845735573,0.047151757,-2.122929261,0.174159778
